[1]คณะกรรมการการอาชีวศึกษา. แนวทางการพัฒนาผู้เรียนอาชีวศึกษา. กรุงเทพฯ: กระทรวงศึกษาธิการ; 2562.
[2]สำนักงานคณะกรรมการการอาชีวศึกษา. หลักสูตรประกาศนียบัตรวิชาชีพ พุทธศักราช 2563. กรุงเทพฯ: กระทรวงศึกษาธิการ; 2563.
[3]สำนักงานคณะกรรมการการอาชีวศึกษา. รายงานการศึกษาและพัฒนาหลักสูตรเพื่อการผลิตกำลังคน. กรุงเทพฯ: กระทรวงศึกษาธิการ; 2561.
[4]พระราชบัญญัติการศึกษาแห่งชาติ พ.ศ. 2542. ราชกิจจานุเบกษา. เล่ม 116 ตอนที่ 74ก.
[5]คณะกรรมการการอาชีวศึกษา. แนวทางการจัดการเรียนรู้แบบบูรณาการในอาชีวศึกษา. กรุงเทพฯ: กระทรวงศึกษาธิการ; 2563.
[6]สุวิทย์ มูลคำ. การพัฒนาทักษะการคิดและแก้ปัญหาสำหรับนักศึกษาอาชีวศึกษา. วารสารการวิจัยอาชีวศึกษา. 2561;8(1):112-28.
[7]กองพัฒนาหลักสูตรการศึกษาขั้นพื้นฐาน. การจัดการเรียนรู้ที่เน้นประสบการณ์จริง. กรุงเทพฯ: สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน; 2562.
[8]สถาบันวิจัยและพัฒนาการศึกษา. รายงานการศึกษาการบูรณาการคุณธรรมในหลักสูตรอาชีวศึกษา. กรุงเทพฯ: สำนักงานคณะกรรมการการอาชีวศึกษา; 2560.
[9]กรมพัฒนาฝีมือแรงงาน. คู่มือการจัดการสอนเพื่อสร้างแรงงานคุณภาพ. กรุงเทพฯ: กระทรวงแรงงาน; 2561.
[10]กองการพัฒนาวิชาการและหลักสูตรอาชีวศึกษา. การวิจัยเพื่อพัฒนาหลักสูตรอาชีวศึกษา. วารสารวิชาการอาชีวศึกษา. 2563;12(2):56-72.
[11]กรมส่งเสริมการปกครองท้องถิ่น. การสร้างความร่วมมือระหว่างสถานศึกษาและชุมชน. กรุงเทพฯ: กระทรวงมหาดไทย; 2561.
[12]คณะกรรมการการอาชีวศึกษา. การจัดการเรียนรู้ที่เน้นผู้เรียนเป็นศูนย์กลาง. กรุงเทพฯ: สำนักงานคณะกรรมการการอาชีวศึกษา; 2564.
[13]สำนักงานคณะกรรมการการอาชีวศึกษา. หลักสูตรประกาศนียบัตรวิชาชีพชั้นสูง พุทธศักราช 2563. กรุงเทพฯ: กระทรวงศึกษาธิการ; 2563.
[14]กรมพัฒนาฝีมือแรงงาน. การพัฒนาสมรรถนะเชิงเทคนิคในอาชีวศึกษา. กรุงเทพฯ: กระทรวงแรงงาน; 2564.
[15]สำนักงานสถิติแห่งชาติ. รายงานสภาวการณ์ตลาดแรงงานไตรมาส 2 ปี 2563. กรุงเทพฯ: สำนักงานสถิติแห่งชาติ; 2563.
[16]สถาบันพัฒนาฝีมือแรงงาน. การจัดการเรียนรู้เพื่อการพัฒนากำลังคน. วารสารวิจัยอาชีวศึกษา. 2563;9(2):45-58.
[17]คณะกรรมการการอาชีวศึกษา. แนวทางการจัดการเรียนรู้แบบบูรณาการสำหรับระดับประกาศนียบัตรวิชาชีพชั้นสูง. กรุงเทพฯ: กระทรวงศึกษาธิการ; 2564.
[18]ศูนย์วิจัยการศึกษาอาชีวศึกษา. รายงานการวิเคราะห์สมรรถนะหลักในการจัดการอาชีวศึกษาระดับชาติ. กรุงเทพฯ: กระทรวงศึกษาธิการ; 2562.
[19]สำนักงานคณะกรรมการการอาชีวศึกษา. แนวทางการพัฒนาความร่วมมือด้านการศึกษากับภาคเอกชน. วารสารการศึกษาอาชีวศึกษา. 2562;11(1):33-41.
[20]สำนักงานคณะกรรมการการอาชีวศึกษา. การส่งเสริมความร่วมมือในการพัฒนาหลักสูตรอาชีวศึกษา. กรุงเทพฯ: กระทรวงศึกษาธิการ; 2561.
[21]องค์การอนามัยโลก. ประกาศสถานการณ์ฉุกเฉินทางสาธารณสุขระหว่างประเทศ. เจนีวา: องค์การอนามัยโลก; 2563.
[22]กรมควบคุมโรค. สถานการณ์โรคติดเชื้อไวรัสโคโรนา 2019 (COVID-19) ในประเทศไทย. กรุงเทพฯ: กระทรวงสาธารณสุข; 2563.
[23]กระทรวงศึกษาธิการ. แนวทางการป้องกันการแพร่ระบาดของ COVID-19 ในสถานศึกษา. กรุงเทพฯ: กระทรวงศึกษาธิการ; 2563.
[24]สำนักงานคณะกรรมการการอาชีวศึกษา. การเฝ้าระวังและป้องกันการแพร่ระบาดของ COVID-19 ในสถานศึกษา. กรุงเทพฯ: กระทรวงศึกษาธิการ; 2563.
[25]กระทรวงศึกษาธิการ. หนังสือราชการ ศธ 0606/2333 และ ศธ 0606/3164 เรื่องการเปิดเรียนและกำหนดการเปิด-ปิดภาคเรียน ปีการศึกษา 2563. กรุงเทพฯ: กระทรวงศึกษาธิการ; 2563.
[26]สำนักงานคณะกรรมการการอาชีวศึกษา. การจัดการเรียนการสอนในภาวะการแพร่ระบาดของโรคติดเชื้อ COVID-19. กรุงเทพฯ: กระทรวงศึกษาธิการ; 2563.
[27]สำนักงานคณะกรรมการการอาชีวศึกษา. หลักสูตรการพัฒนาเว็บด้วยภาษา PHP รหัสวิชา 30901-2008. กรุงเทพฯ: กระทรวงศึกษาธิการ; 2564.
[28]วิทยาลัยการอาชีพปัตตานี. รายงานผลการจัดการเรียนการสอนในภาคเรียนที่ 2 ปีการศึกษา 2564. ปัตตานี: วิทยาลัยการอาชีพปัตตานี; 2564.
[29]สถาบันพัฒนาเทคโนโลยีสารสนเทศ. การจัดการเรียนการสอนด้วยเครื่องมือพัฒนาเว็บ OnlinePHP.io ในสถานการณ์ COVID-19. วารสารวิจัยการศึกษาอาชีวศึกษา. 2564;12(3):78-89.
